days,Acidimicrobium,Acinetobacter,Albidiferax,Candidatus Microthrix,Chitinophaga pinensis,Dechloromonas,Haliscomenobacter,Intrasporangium,Leptospira,Other,Xanthomonas,mean abundance < 2%
151.0,12.956572202383882,1.2440011211761657,3.265094918050269,33.9261068831966,9.180880843685545,1.949414741608432,6.481493866129768,4.509190859058297,3.921593158161619,1.7182869125121452,3.916897962735081,16.930466531302194
152.0,12.932351115845664,3.43876169248028,3.4980207745130225,33.4764162523222,9.14819150223755,1.9538415472982635,6.248869631794228,4.417108088677358,4.042587262243947,1.8816841190705993,3.733691200924889,16.749037119525738
153.0,12.734762462093911,3.2711786415808013,3.796991903694785,33.68092527451454,9.309292231407708,1.9709442593860664,6.004094351568891,4.282355971057491,4.170703429900992,1.9441297047882378,3.560610873715389,16.56763132667063
154.0,12.420827066345657,3.1321059593144907,4.145888584433852,33.65565760796882,9.64329069916165,2.00021621909298,5.754139284582825,4.111685645375252,4.299740414793851,2.026285429042517,3.3996124429689396,16.38624922192393
155.0,12.046370134682869,3.0214312384164943,4.525118936717899,33.44393884724882,10.119517211016873,2.0411503879601534,5.509381828720437,3.914355005827927,4.422921340851709,2.121140034025171,3.252120312670196,16.204890545948683
156.0,11.650520722829388,2.9387442513385222,4.91562094147743,33.08643951022878,10.70508061839293,2.0938429881175438,5.283189915078458,3.7004785270166813,4.533161297694403,2.2214331233284783,3.1194320683967964,16.023555039440893
157.0,11.257095656910819,2.8833592704626456,5.299524868703828,32.61314716272091,11.370004008829593,2.159385132377773,5.091364869034416,3.4800946505849364,4.62344279083413,2.320059496353134,3.002986916310831,15.842242443130775
158.0,10.881593706158363,2.8543416851111627,5.658737934543331,32.04080088027435,12.089253321877605,2.2399134786473343,4.951288183968161,3.2628759858269722,4.687288882648502,2.4099141022663457,2.9044073681861593,15.660952497780514
159.0,10.537605216679728,2.850538169531642,5.97366280097574,31.374827023421005,12.842292821924406,2.338215803695379,4.880519167769849,3.05799187189867,4.719301588720644,2.4837745947714116,2.82527141066497,15.479684944185033
160.0,10.2400498615096,2.870609570720691,6.224338748818875,30.61469419937642,13.611108209903257,2.456815894129485,4.894730826216888,2.8736327877436074,4.715707092543373,2.534827579327438,2.766640945057241,15.298439523171012
161.0,10.002773611081224,3.56899927364172,6.395395321668466,30.125422026467326,14.377460546525215,2.5966120587099435,5.005268991044567,2.716063563904329,4.67482724305342,2.6915027355442085,2.728459939941177,15.117214688418398
162.0,9.83098063784219,2.9763005741371793,6.483028477396985,28.825297804753234,15.119957355410483,2.755560331336783,5.21707191819472,2.5886444098992634,4.59738773772238,2.5521406943254905,2.709046168971094,15.318599983713307
163.0,9.71674974773854,3.0586287623082518,6.498876213084643,27.83022491248691,15.81149312975116,2.9276946162121686,5.527739885513638,2.491572245961693,4.486596775876479,2.520037720702109,2.7048229689742236,15.520005894094714
164.0,9.644266701315349,3.1583192861803053,6.467526037177492,26.814353308483692,16.417707524165845,3.103335727009719,5.928112153378406,2.422732987904908,4.347955354663179,2.4685780788700273,2.7105340039595727,15.721433994707956
165.0,9.598488917180596,3.273628860799313,6.420554559749159,25.826469354940276,16.897326382790606,3.26995289301398,6.403830342823489,2.3791906059983288,4.188828358093107,2.4066200055183047,2.7198086192903594,15.922884573551295
166.0,9.56941172449538,3.402832108547401,6.391349022108109,24.92048365710306,17.20548694941568,3.4137479310763457,6.936952465346886,2.35842817828754,4.0178374447244645,2.3434064241619357,2.7260206796366786,16.12435791865481
167.0,9.551927406525234,3.544248594399699,6.410987804172092,24.148509155681,17.300816176034747,3.5217710582046915,7.50679380507993,2.3587216892866985,3.8441661773509352,2.2872625195904903,2.7232508626377556,16.325854318082182
168.0,9.543969219164078,4.720733299426642,6.502875615190884,22.95759391239869,17.155406475029682,3.584436313577492,8.08975251612763,2.378636418050488,3.676861721675982,2.155177357915688,2.7071826824796856,16.52737446896305
169.0,9.544458577119661,3.8573593356314055,6.676410073903548,23.16078042641905,16.764273833279418,3.597548280476735,8.658474950347117,2.416149113250224,3.5241923591722233,2.2181253314722675,2.675722973516658,16.607341101953967
170.0,9.552005851867344,4.026104943372331,6.92394526630248,22.980673556291997,16.149737106527514,3.563434349901482,9.181072038642132,2.4680595778906853,3.3930816333800977,2.2082125292979815,2.6292628340014192,16.687331888863195
171.0,9.564784861477998,4.201190786882453,7.224023452608026,23.009244328484776,15.358276409782992,3.4896448239388094,9.621216378519957,2.5300714056672975,3.2886142537426637,2.212087892134265,2.5704017915600574,16.767346535025897
172.0,9.580858335724852,4.381421445344011,7.5478814734934785,23.23852382723889,14.451676898982923,3.3868443213957393,9.939861115109931,2.5973846400688925,3.213590024817773,2.226044363730564,2.503345965948591,16.847385154846368
173.0,9.598207983153607,4.56571896940823,7.864895440362154,23.66207055934901,13.496373274227258,3.266396589953395,10.099112194580998,2.6654100273554295,3.1681211575572497,2.2464825149327075,2.433089165087185,16.92744786276256
174.0,9.61463568026018,4.753119607661046,8.146549757989362,24.274849895298093,12.55399823261228,3.138606558764643,10.06822731647002,2.730350232745272,3.1493034525755608,2.2705480603454387,2.3645900161657623,17.00753477324626
175.0,9.628172778687016,5.314214580795362,8.371132076059009,24.539695834131383,11.674344757712833,3.0117251990759044,9.830710728697698,2.7896124192649343,3.1510392901538946,2.299619520825408,2.302086520996231,17.087646293600326
176.0,9.638122474686654,5.133901805253206,8.529051473910428,26.014596090028917,10.891432082337706,2.891633488287974,9.390346131460074,2.842059314846087,3.1641259162432602,2.3227459919972957,2.2486686383287977,17.080754382676833
177.0,9.64563297012446,5.325850261084751,8.625003744735693,27.07409405251653,10.22344467381574,2.7819766090141678,8.77380719778129,2.8880502993585138,3.176714673243946,2.349606469940277,2.2061261120607676,17.07388718631211
178.0,9.652867026368956,5.51800936662838,8.674343596430626,28.181137867164118,9.676472085719814,2.684829626367476,8.028412710331937,2.929235705996423,3.1752160879747438,2.377348621289602,2.175133298330003,17.067044401891224
179.0,9.661637133248105,5.709832516091648,8.696510744340825,29.255895456753993,9.250165082090454,2.6014193491159374,7.215654412293515,2.968166411976166,3.1456255747535216,2.4070148971599123,2.155600352071971,17.060226019631127
180.0,9.672631294419814,5.900814550418968,8.709906183572917,30.211660192238686,8.942557483811708,2.5326878940396593,6.402221286033399,3.007799757755067,3.075157948525574,2.440097703387676,2.147092985286137,17.05343202978208
181.0,9.685386255268293,6.090477619831846,8.72950857236272,30.966574267783347,8.752118143665122,2.4794331742894813,5.6505102069607425,3.050920262629376,2.953978874999014,2.4782782935587546,2.14918908184504,17.04666242263086
182.0,9.698930230129893,5.353546429333012,8.765929995489962,32.48515629722077,8.676968786304364,2.442039642069041,5.010307016671082,3.0994828273587967,2.776764278213803,2.489232386978365,2.161725964592533,17.039916145638387
183.0,9.712857185916391,6.463998137360552,8.82487338851827,31.652877038776435,8.712887979856214,2.420091858881583,4.513193075949377,3.154009217282688,2.543808181847172,2.5750019339962704,2.184956977551698,17.343163423347917
184.0,9.727777884011356,6.646933723645091,8.90725492934175,31.555500596468917,8.852245386345276,2.412067201259386,4.170832930690156,3.2132663640077257,2.2614689615397583,2.634137077824413,2.2196495874674578,17.64643445514946
185.0,9.74426796676181,6.826694266065575,9.010382375089373,31.196325217230182,9.085079061792781,2.4155145252583536,3.9773966874269635,3.274345788153128,1.9418200774522842,2.699593634163294,2.267159947721111,17.94973071751216
186.0,9.760893111001764,7.0027995268941785,9.129500986283517,30.61912503938939,9.401800016281243,2.427390685792949,3.9147702593244547,3.332993729322807,1.6015345904061398,2.770394038379457,2.3294451968696173,18.25305264408454
187.0,9.771953440671519,7.174762844387911,9.258712786100672,29.86631519359718,9.796004628292872,2.4444529433542574,3.9585406892496935,3.3839600542636616,1.2601203966875738,2.845830609466893,2.4089497306407437,18.556400668551497
188.0,9.764685506333095,7.342097815761691,9.391042167983871,28.97042966034867,10.26598954284552,2.4635068056833846,4.082996525126494,3.421309129091422,0.9377243736171293,2.92567396887571,2.5082654386936496,18.859775224634067
189.0,9.71620909605402,7.50432878729735,9.518238582722404,27.95252188097688,10.814254875706597,2.481521662131059,4.26438127910233,3.438893254596379,0.652775685227688,3.0101364846601424,2.62948724396789,19.16317674609182
190.0,9.59351019450493,7.66100493865574,9.631243021770734,26.82623980681846,11.444952504642607,2.495701514441123,4.482499186598651,3.43127607347524,0.41977248243448073,3.099611380565482,2.773267303494817,19.466605666723304
191.0,9.363112743210642,6.067634260740103,9.721919418598484,25.94056060254723,12.159922889373364,2.5035657485383447,4.721156121619328,3.395161260194088,0.2475257305343968,3.1716646609901686,2.9377123769818283,19.770064186672016
192.0,9.010847969288122,7.956120405998267,9.785308999928331,24.31259880879504,12.954715780961944,2.5029680308318167,4.967911772371843,3.3308873510249746,0.13815049648473865,3.2932633131365074,3.1174628599912424,19.54855130797737
193.0,8.554407396493316,8.093951461079104,9.820278880382993,22.98458741645039,13.816248323261552,2.4920242722482735,5.213477050201079,3.2432411268785524,0.08699037110119928,3.3948345697698676,3.3032094503367744,19.32706814576615
194.0,8.034788726699718,8.225057237141836,9.827250920533075,21.6743910364057,14.723020960143028,2.468810913963253,5.450975806103154,3.1411199669433625,0.08355198096035275,3.4956359444112044,3.4820901203909194,19.10561261705806
195.0,7.501399805753717,8.34941705649573,9.804494224225202,20.448275949741163,15.647463350719274,2.4311098736101364,5.675257105514103,3.036268493827575,0.11330195196331719,3.591068568620026,3.63886486363578,18.884184405217983
196.0,7.0075816307639345,8.467167604014213,9.745698954813085,19.379194555693616,16.55933502638409,2.3763963710305163,5.882408151830761,2.9415498229824726,0.16004893784155863,3.6755551539775473,3.7578675816692906,18.662783193653777
197.0,6.611404209810626,8.578626570881298,9.640769534978501,18.5360877796269,17.42932541795529,2.3023027951310513,6.069544901547714,2.868960216179411,0.20850374131429195,3.7433175320813827,3.825442195684057,18.441408665809078
198.0,6.365657396188036,11.506611327429388,9.48027380197914,16.941744070854693,18.232287928639234,2.207536084126959,6.234834978569391,2.827467887033801,0.2465860553942427,3.9045002852294695,3.83244002116222,18.22006016339342
199.0,6.293257384221547,8.784974918998927,9.261515877198974,17.69972253818671,18.949299606233485,2.0928087996752285,6.377593840847547,2.8211667252760897,0.26709673719868593,3.812868342687998,3.776074631160177,18.100322898536113
200.0,6.372719007576445,8.881589392150712,8.991924787568255,17.70873207763447,19.567602247393403,1.9615117458539988,6.498274169350798,2.848599076270929,0.2685159102416577,3.814048223236898,3.6607737336493424,17.980611171430247
201.0,6.554492166737857,8.97539119905588,8.687158974670293,17.948824426940387,20.078275644815136,1.819412599991896,6.598247678108626,2.903705482868257,0.25483131575573065,3.7971498150424416,3.4973401405555107,17.860925152686146
202.0,6.787757364871055,9.06787267734666,8.366337534290398,18.354935045017015,20.473028842451463,1.6739211520799449,6.679440688777842,2.9778309697719014,0.2345163059644745,3.766963804946921,3.301073032166463,17.741264671178612
203.0,7.03277108342781,9.160788376624275,8.048113176750553,18.859248097662825,20.742304776888144,1.5329962848649359,6.74396673295621,3.061795320641444,0.2188966833686128,3.7278229757590213,3.0891825018576187,17.62162955582023
204.0,7.260373978480775,9.256152782432695,7.748474736031825,19.401781742826003,20.876288241659,1.4039800249792727,6.79388754880257,3.1474113186364785,0.22024647067043374,3.6829789076116417,2.8781963480829624,17.50201963555825
205.0,7.450458792412071,8.705329717578827,7.478992526997045,20.186761520204158,20.868640231463655,1.2924358471251884,6.831139737257508,3.228396843453697,0.2499614125713488,3.643636265982733,2.6818118651486698,17.38243523980509
206.0,7.594425620987314,9.463532735084263,7.245050260065238,20.434887430497536,20.720857816070712,1.2013209685247561,6.857572628757695,3.3007899930147357,0.3171062118068945,3.58422510315427,2.5095596486717593,17.114133217691837
207.0,7.696455966328979,9.580778230328603,7.045406271711593,20.883641560725714,20.444468331400614,1.1306019848715536,6.8750081932392515,3.362888064336585,0.4275113006263146,3.532817222606043,2.366322403623195,16.845856165494553
208.0,7.768283935513161,9.710888556688467,6.874133130619521,21.282783891955475,20.05956673281824,1.0779283765409027,6.8852561977367985,3.4147428447785804,0.5834825230504337,3.48119371408106,2.252888559371564,16.577603199205672
209.0,7.821939170564889,9.856948261152583,6.723709412332896,21.639705085751785,19.590686971830305,1.0396250981581145,6.890078619312649,3.4574322226433623,0.7840330783702264,3.429936326292072,2.167025082271083,16.309373935283617
