genus	date	val	type
Haliscomenobacter	2012-04-17	6.174238795629888	MG
Haliscomenobacter	2012-04-25	5.5519890585751925	MG
Haliscomenobacter	2012-05-03	6.781143710238	MG
Intrasporangium	2011-03-21	11.445072116320103	MG
Intrasporangium	2011-03-29	11.476739311028352	MG
Intrasporangium	2011-04-05	9.545647148605775	MG
Intrasporangium	2011-04-14	9.274704283360913	MG
Intrasporangium	2011-04-21	6.852819104931779	MG
Intrasporangium	2011-04-29	7.554724587408075	MG
Intrasporangium	2011-05-06	7.1608309418328755	MG
Intrasporangium	2011-05-13	8.101099237718808	MG
Intrasporangium	2011-05-20	7.298359968643941	MG
Intrasporangium	2011-05-27	8.258640673232332	MG
Intrasporangium	2011-06-03	7.513341274277466	MG
Intrasporangium	2011-06-09	5.283409605620011	MG
Intrasporangium	2011-06-17	5.2560770372403	MG
Intrasporangium	2011-06-24	5.746112175503919	MG
Intrasporangium	2011-07-01	4.907919299160894	MG
Intrasporangium	2011-07-08	4.456358986854773	MG
Intrasporangium	2011-08-05	3.800285660675507	MG
Intrasporangium	2011-08-11	4.121366265148467	MG
Intrasporangium	2011-08-19	4.509190859058297	MG
Intrasporangium	2011-08-29	2.716063563904329	MG
Intrasporangium	2011-09-05	2.378636418050488	MG
Intrasporangium	2011-09-12	2.7896124192649343	MG
Intrasporangium	2011-09-19	3.0994828273587967	MG
Intrasporangium	2011-09-28	3.395161260194088	MG
Intrasporangium	2011-10-05	2.8274678870338015	MG
Intrasporangium	2011-10-12	3.228396843453697	MG
Intrasporangium	2011-11-02	3.4851894768145604	MG
Intrasporangium	2011-11-07	3.3797883123872285	MG
Intrasporangium	2011-11-16	3.1525726519194945	MG
Intrasporangium	2011-11-23	1.6703394150370685	MG
Intrasporangium	2011-11-29	2.6365507878593344	MG
Intrasporangium	2011-12-21	8.05470770053631	MG
Intrasporangium	2011-12-28	13.173190813506451	MG
Intrasporangium	2012-01-03	12.927639086558996	MG
Intrasporangium	2012-01-11	11.518502848311616	MG
Intrasporangium	2012-01-19	10.22951771462132	MG
Intrasporangium	2012-01-25	11.018100984542905	MG
Intrasporangium	2012-02-01	9.065642401648715	MG
Intrasporangium	2012-02-08	10.024518796884406	MG
Intrasporangium	2012-02-14	12.852906871388914	MG
Intrasporangium	2012-02-23	11.904414283600591	MG
Intrasporangium	2012-02-29	10.562736894727209	MG
Intrasporangium	2012-03-08	10.679738227123526	MG
Intrasporangium	2012-03-14	10.221623716375479	MG
Intrasporangium	2012-03-22	9.595419902986482	MG
Intrasporangium	2012-03-28	8.187358027770397	MG
Intrasporangium	2012-04-04	6.99765240082418	MG
Intrasporangium	2012-04-10	8.412157560322889	MG
Intrasporangium	2012-04-17	8.557073715466519	MG
Intrasporangium	2012-04-25	7.889666059442491	MG
Intrasporangium	2012-05-03	7.23129870954244	MG
Leptospira	2011-03-21	4.742982210528009	MG
Leptospira	2011-03-29	4.850959307882681	MG
Leptospira	2011-04-05	4.272395238817066	MG
Leptospira	2011-04-14	5.1382170585095	MG
Leptospira	2011-04-21	7.749835711476795	MG
Leptospira	2011-04-29	7.556270167298601	MG
Leptospira	2011-05-06	6.451039884421711	MG
Leptospira	2011-05-13	4.559509329546838	MG
Leptospira	2011-05-20	3.863685595403562	MG
Leptospira	2011-05-27	4.630525349953617	MG
Leptospira	2011-06-03	5.7952596953822955	MG
Leptospira	2011-06-09	8.565087104509734	MG
Leptospira	2011-06-17	7.259869341729124	MG
Leptospira	2011-06-24	6.459456057573035	MG
Leptospira	2011-07-01	7.0520471969912055	MG
Leptospira	2011-07-08	7.100627922650254	MG
Leptospira	2011-08-05	4.3905380208917535	MG
Leptospira	2011-08-11	3.6836269406275353	MG
Leptospira	2011-08-19	3.921593158161619	MG
