KO	FunC_1	FunC_2	FunC_3	FunC_4
K01613	1	1	1	1
K07152	1	1	1	1
K08307	1	1	1	1
K03536	1	1	1	1
K02914	1	1	1	1
K03217	1	1	1	1
K07976	1	1	1	1
K01807	1	0	1	1
K07157	1	1	1	1
K07678	1	1	1	1
K02192	1	0	1	1
K02488	1	1	1	1
K03594	1	0	1	1
K00796	1	1	1	1
K03668	1	1	1	1
K03593	1	1	1	1
K12251	1	1	1	1
K06180	1	1	1	1
K19168	1	0	1	0
K09808	1	1	1	1
K02044	1	0	1	1
K09964	1	0	1	0
K07240	1	1	1	1
K09153	1	1	1	0
K11068	1	1	1	1
K07696	1	1	1	1
K03830	1	1	1	0
K03789	1	1	1	1
K07334	1	1	1	1
K18831	1	1	1	1
K04763	1	1	1	1
K04125	1	1	1	1
K03431	1	0	1	1
K02886	1	1	1	1
K02965	1	1	1	1
K02890	1	1	1	1
K02518	1	1	1	1
K03673	1	1	1	1
K18353	1	1	1	1
K03185	1	0	1	1
K17100	1	0	1	1
K17725	1	1	1	0
K02864	1	1	1	1
K02935	1	1	1	1
K02863	1	1	1	1
K02867	1	1	1	1
K06351	1	1	1	1
K02198	1	1	1	1
K02199	1	1	1	1
K07258	1	0	1	1
K01698	1	1	1	1
K05994	1	1	1	1
K01915	1	1	1	1
K07146	1	1	1	1
K19159	1	1	1	1
K19158	1	1	1	1
K01414	1	0	1	1
K03741	1	1	1	1
K09874	1	1	1	1
K00446	1	0	1	1
K01186	1	1	1	1
K00619	1	1	1	1
K14160	1	0	1	1
K01356	1	1	1	1
K14161	1	0	1	1
K13799	1	1	1	1
K03305	1	1	1	1
K01755	1	1	1	1
K06381	1	1	1	1
K03418	1	1	1	1
K03294	1	1	1	1
K02650	1	0	1	1
K02066	1	1	1	1
K02065	1	1	1	1
K14153	1	1	1	1
K14162	1	1	1	1
K03110	1	1	1	1
K08316	1	1	1	1
K07451	1	1	1	1
K18189	1	1	1	1
K19619	1	1	1	1
K08309	1	1	1	1
K00329	1	0	1	1
K09667	1	1	1	1
K01620	1	1	1	1
K19165	1	0	1	1
K00962	1	1	1	1
K07387	1	1	1	1
K13444	1	1	1	1
K06194	1	1	1	1
K15633	1	1	1	1
K15052	1	1	1	1
K02460	1	0	1	1
K02459	1	0	1	1
K02314	1	1	1	1
K02939	1	1	1	1
K04063	1	1	1	1
K15270	1	1	1	1
K01491	1	1	1	1
K13288	1	0	1	1
K03469	1	1	1	1
K07040	1	1	1	1
K02911	1	1	1	1
K01447	1	1	1	1
K07018	1	1	1	0
K15738	1	1	1	1
K01501	1	1	1	1
K03147	1	1	1	1
K01738	1	1	1	1
K03571	1	1	1	1
K03570	1	1	1	1
K03569	1	1	1	1
K01448	1	1	1	1
K04065	1	1	1	1
K08984	1	1	1	1
K02612	1	1	1	1
K02469	1	1	1	1
K00375	1	0	1	1
K02195	1	1	1	1
K02193	1	1	1	1
K02194	1	1	1	1
